"filename", "language", "JavaScript", "PHP", "JSON", "XML", "Markdown", "SCSS", "PostCSS", "MS SQL", "comment", "blank", "total"
"/home/zougmore/annuaire5/app/Http/Middleware/ShareNotifications.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 27
"/home/zougmore/annuaire5/app/Http/Middleware/ValidateProfilePhoto.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"/home/zougmore/annuaire5/app/Http/Requests/Auth/LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 21, 14, 86
"/home/zougmore/annuaire5/app/Http/Requests/ProfileUpdateRequest.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 8, 4, 49
"/home/zougmore/annuaire5/app/Http/Requests/StoreLeaveRequest.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 8, 7, 51
"/home/zougmore/annuaire5/app/Jobs/ProcessScheduledNotifications.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 8, 6, 28
"/home/zougmore/annuaire5/app/Models/Conge.php", "PHP", 0, 80, 0, 0, 0, 0, 0, 0, 3, 16, 99
"/home/zougmore/annuaire5/app/Models/Demande.php", "PHP", 0, 222, 0, 0, 0, 0, 0, 0, 8, 50, 280
"/home/zougmore/annuaire5/app/Models/Direction.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 6, 6, 33
"/home/zougmore/annuaire5/app/Models/Historique.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/zougmore/annuaire5/app/Models/Leave/LeaveCalculator.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/zougmore/annuaire5/app/Models/Leave/LeaveNotifier.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/zougmore/annuaire5/app/Models/Leave/LeaveValidator.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/zougmore/annuaire5/app/Models/LeavePeriod.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/zougmore/annuaire5/app/Models/LeaveSetting.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"/home/zougmore/annuaire5/app/Models/LeaveType.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/zougmore/annuaire5/app/Models/Notification.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/zougmore/annuaire5/app/Models/Parametre.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 4, 6, 44
"/home/zougmore/annuaire5/app/Models/Poste.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/zougmore/annuaire5/app/Models/QuotaUtilisateur.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 8, 12, 69
